date,open,high,low,close,volume,amount,code,name,return,is_extreme,industry,index_hs300,index_zz500,cpi,m2_yoy
2020-01-02,160.91409523,165.52614792,160.87178282,164.51065008,82624452,3191180650.0,600036,招商银行,,False,银行,4152.24,5366.137,4.5,8.4
2020-01-03,164.80683695,167.64176842,164.67989972,166.7108954,52010611,2045230273.0,600036,招商银行,0.013285836711649719,False,银行,4144.964,5380.637,4.5,8.4
2020-01-06,165.82233479,169.92663856,164.5952749,166.03389684,54887720,2171575505.0,600036,招商银行,-0.004069181606725743,False,银行,4129.295,5434.85,4.5,8.4
2020-01-07,167.34558155,168.99576554,165.4415231,165.65308515,34767128,1369304771.0,600036,招商银行,-0.002296212260350268,False,银行,4160.227,5499.839,4.5,8.4
2020-01-08,164.80683695,164.80683695,162.52196681,162.52196681,36323418,1403861101.0,600036,招商银行,-0.019082580078998674,False,银行,4112.317,5423.796,4.5,8.4
2020-01-09,164.34140044,165.018399,163.24127778,164.5952749,30335989,1177003661.0,600036,招商银行,0.01267640826658715,False,银行,4164.369,5497.542,4.5,8.4
2020-01-10,164.5952749,166.20314648,163.96058875,165.18764864,28593121,1116903172.0,600036,招商银行,0.0035925109204910976,False,银行,4163.184,5480.227,4.5,8.4
2020-01-13,166.20314648,166.20314648,163.96058875,165.4415231,32780852,1279073028.0,600036,招商银行,0.001535705446428386,False,银行,4203.988,5559.627,4.5,8.4
2020-01-14,165.61077274,167.68408083,163.7490267,164.21446321,33564638,1314430602.0,600036,招商银行,-0.007444521610505244,False,银行,4189.886,5542.331,4.5,8.4
2020-01-15,164.34140044,164.55296249,160.87178282,161.29490692,48859891,1870048774.0,600036,招商银行,-0.017938866594813602,False,银行,4166.734,5530.026,4.5,8.4
2020-01-16,161.71803102,162.26809235,159.77166016,160.61790836,45384826,1723277982.0,600036,招商银行,-0.0042061050442742005,False,银行,4149.043,5527.667,4.5,8.4
2020-01-17,161.04103246,161.50646897,159.43316088,160.49097113,42135711,1595789849.0,600036,招商银行,-0.0007906180409195926,False,银行,4154.853,5510.045,4.5,8.4
2020-01-20,161.71803102,163.53746465,160.787158,162.09884271,58580886,2244268938.0,600036,招商银行,0.009968603011750284,False,银行,4185.83,5587.535,4.5,8.4
2020-01-21,160.57559595,161.42184415,159.5177857,159.89859739,41720185,1580332561.0,600036,招商银行,-0.01366644135116019,False,银行,4114.308,5523.941,4.5,8.4
2020-01-22,159.5177857,161.2102821,157.19060315,160.02553462,53125460,2000618547.0,600036,招商银行,0.0007935458689137893,False,银行,4131.931,5575.512,4.5,8.4
2020-01-23,158.79847473,159.5177857,154.22873445,155.75198121,78750274,2912304571.0,600036,招商银行,-0.027068515839381743,False,银行,4003.901,5377.741,4.5,8.4
